comment,commentNUM,name,rate
大卫·林奇的梦境迷宫。,239202人评价,穆赫兰道,8.3
热血沸腾，相当完美的娱乐拳击大餐。,88955人评价,勇士,8.9
我的平常生活就是他人的幸福。,56764人评价,无人知晓,9.0
中国版《两杆大烟枪》。,321276人评价,疯狂的石头,8.3
迪士尼和皮克斯拿错剧本的产物。,187826人评价,无敌破坏王,8.6
皇上无话儿。,346429人评价,国王的演讲,8.3
纯净原始的笑与感动。,97686人评价,上帝也疯狂,8.6
每个美丽事物背后都是滴血的现实。,134556人评价,血钻,8.5
日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,73848人评价,步履不停,8.8
青春的窃窃私语。 ,275875人评价,蓝色大门,8.3
一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,101379人评价,枪火,8.6
小成本大魅力。,180682人评价,彗星来的那一夜,8.4
捍卫人权只是信仰，一点不妨碍其行为的残忍。,94784人评价,大卫·戈尔的一生,8.6
献给所有外婆的电影。,48066人评价,爱·回家,9.0
用剩余不多的时间，去燃烧整个生命。,130968人评价,遗愿清单,8.5
你要相信，这世上真的有爱存在，不管在什么年纪 ,58444人评价,我爱你,9.0
一部能引人思考的科幻励志片。,87385人评价,千钧一发,8.7
一个人的独角戏。,136490人评价,荒岛余生,8.5
麦兜是一只很哲学的猪。 ,129842人评价,麦兜故事,8.5
恋爱是一次神经的冒险。就算失去记忆，也会爱上你。,146758人评价,暖暖内含光,8.4
还原真实而残酷的战争。,115472人评价,黑鹰坠落,8.5
有些幸福无关爱情。,205392人评价,曾经,8.3
2009媲美《第九区》的又一部科幻神作。,145992人评价,月球,8.5
